alpha,gamma,epsilon,policy,mean_score,std_score,seeds
0.1,0.95,0.1,decay,-0.1292,0.020270832905104483,"[-0.1166, -0.1132, -0.1578]"
0.05,0.95,0.1,decay,-0.1292,0.020270832905104483,"[-0.1166, -0.1132, -0.1578]"
0.05,0.95,0.1,epsilon,-0.1292,0.020270832905104483,"[-0.1166, -0.1132, -0.1578]"
0.1,0.95,0.1,epsilon,-0.1292,0.020270832905104483,"[-0.1166, -0.1132, -0.1578]"
0.1,0.95,0.1,epsilon,-0.13966666666666666,0.02888002000614881,"[-0.12, -0.1185, -0.1805]"
0.05,0.95,0.1,epsilon,-0.13966666666666666,0.02888002000614881,"[-0.12, -0.1185, -0.1805]"
0.05,0.95,0.1,decay,-0.13966666666666666,0.02888002000614881,"[-0.12, -0.1185, -0.1805]"
0.1,0.95,0.1,decay,-0.13966666666666666,0.02888002000614881,"[-0.12, -0.1185, -0.1805]"
0.1,0.9,0.1,decay,-0.14326666666666665,0.009329999404549224,"[-0.1306, -0.1528, -0.1464]"
0.05,0.9,0.1,decay,-0.14326666666666665,0.009329999404549224,"[-0.1306, -0.1528, -0.1464]"
0.1,0.9,0.1,epsilon,-0.14326666666666665,0.009329999404549224,"[-0.1306, -0.1528, -0.1464]"
0.05,0.9,0.1,epsilon,-0.14326666666666665,0.009329999404549224,"[-0.1306, -0.1528, -0.1464]"
0.1,0.9,0.1,decay,-0.1495,0.015795568998931316,"[-0.128, -0.1655, -0.155]"
0.1,0.9,0.1,epsilon,-0.1495,0.015795568998931316,"[-0.128, -0.1655, -0.155]"
0.05,0.9,0.1,epsilon,-0.1495,0.015795568998931316,"[-0.128, -0.1655, -0.155]"
0.05,0.9,0.1,decay,-0.1495,0.015795568998931316,"[-0.128, -0.1655, -0.155]"
0.1,0.95,0.1,epsilon,-0.15433333333333335,0.02536839678725393,"[-0.129, -0.145, -0.189]"
0.05,0.95,0.1,decay,-0.15433333333333335,0.02536839678725393,"[-0.129, -0.145, -0.189]"
0.05,0.95,0.1,epsilon,-0.15433333333333335,0.02536839678725393,"[-0.129, -0.145, -0.189]"
0.1,0.95,0.1,decay,-0.15433333333333335,0.02536839678725393,"[-0.129, -0.145, -0.189]"
0.1,0.9,0.1,decay,-0.16866666666666666,0.020072092289766134,"[-0.143, -0.171, -0.192]"
0.05,0.9,0.1,epsilon,-0.16866666666666666,0.020072092289766134,"[-0.143, -0.171, -0.192]"
0.1,0.9,0.1,epsilon,-0.16866666666666666,0.020072092289766134,"[-0.143, -0.171, -0.192]"
0.05,0.9,0.1,decay,-0.16866666666666666,0.020072092289766134,"[-0.143, -0.171, -0.192]"
0.05,0.95,0.1,greedy,-0.1775,0.04844068537913145,"[-0.244, -0.13, -0.1585]"
0.1,0.9,0.1,greedy,-0.1775,0.04844068537913145,"[-0.244, -0.13, -0.1585]"
0.05,0.9,0.1,greedy,-0.1775,0.04844068537913145,"[-0.244, -0.13, -0.1585]"
0.1,0.95,0.1,greedy,-0.1775,0.04844068537913145,"[-0.244, -0.13, -0.1585]"
0.05,0.9,0.1,greedy,-0.1808,0.05715312764844983,"[-0.2616, -0.1422, -0.1386]"
0.1,0.9,0.1,greedy,-0.1808,0.05715312764844983,"[-0.2616, -0.1422, -0.1386]"
0.05,0.95,0.1,greedy,-0.18086666666666665,0.0571039597770787,"[-0.2616, -0.1422, -0.1388]"
0.1,0.95,0.1,greedy,-0.18086666666666665,0.0571039597770787,"[-0.2616, -0.1422, -0.1388]"
0.05,0.9,0.1,greedy,-0.18699999999999997,0.03367491648096548,"[-0.232, -0.151, -0.178]"
0.1,0.9,0.1,greedy,-0.18699999999999997,0.03367491648096548,"[-0.232, -0.151, -0.178]"
0.05,0.95,0.1,greedy,-0.18699999999999997,0.03367491648096548,"[-0.232, -0.151, -0.178]"
0.1,0.95,0.1,greedy,-0.18699999999999997,0.03367491648096548,"[-0.232, -0.151, -0.178]"
0.05,0.9,0.1,softmax,-0.24506666666666668,0.008899937577808565,"[-0.2528, -0.2326, -0.2498]"
0.1,0.9,0.1,softmax,-0.24506666666666668,0.008899937577808565,"[-0.2528, -0.2326, -0.2498]"
0.1,0.95,0.1,softmax,-0.25286666666666663,0.008330399483551515,"[-0.2436, -0.2512, -0.2638]"
0.05,0.95,0.1,softmax,-0.25286666666666663,0.008330399483551515,"[-0.2436, -0.2512, -0.2638]"
0.05,0.9,0.1,softmax,-0.25499999999999995,0.03418576701884377,"[-0.274, -0.207, -0.284]"
0.1,0.9,0.1,softmax,-0.25499999999999995,0.03418576701884377,"[-0.274, -0.207, -0.284]"
0.05,0.9,0.1,softmax,-0.26866666666666666,0.035140985883849195,"[-0.292, -0.219, -0.295]"
0.1,0.9,0.1,softmax,-0.26866666666666666,0.035140985883849195,"[-0.292, -0.219, -0.295]"
0.05,0.95,0.1,softmax,-0.2791666666666667,0.010208928554075685,"[-0.2735, -0.2705, -0.2935]"
0.1,0.95,0.1,softmax,-0.2791666666666667,0.010208928554075685,"[-0.2735, -0.2705, -0.2935]"
0.1,0.95,0.1,softmax,-0.2913333333333333,0.0229830855679176,"[-0.288, -0.265, -0.321]"
0.05,0.95,0.1,softmax,-0.2913333333333333,0.0229830855679176,"[-0.288, -0.265, -0.321]"
