alpha,gamma,epsilon,policy,mean_score,std_score,seeds
0.1,0.95,0.1,decay,-582.3713740769822,2.202527066934259,"[-582.8670557533991, -579.4603747797977, -584.7866916977497]"
0.1,0.95,0.1,softmax,-584.1380866413782,5.810135299109664,"[-587.1438579165431, -576.0124740298079, -589.2579279777834]"
0.1,0.95,0.1,epsilon,-584.6740978507614,2.586978153659782,"[-584.9536388687559, -587.6934532597538, -581.3752014237747]"
0.1,0.95,0.1,greedy,-586.5521809509768,4.276887591400652,"[-586.3338119551772, -591.8960466655765, -581.4266842321767]"
0.1,0.9,0.1,epsilon,-615.8268040331747,4.426339682232731,"[-613.8161276443182, -611.6982733338509, -621.9660111213548]"
0.1,0.9,0.1,softmax,-619.253346421798,10.269098990575209,"[-630.2690130082026, -605.5496051032317, -621.9414211539596]"
0.1,0.9,0.1,greedy,-621.4104281055253,2.273247479404932,"[-620.4961446363125, -624.5367542581469, -619.1983854221168]"
0.1,0.9,0.1,decay,-623.6447118903981,1.502818202208237,"[-625.5198254300993, -623.5735590293882, -621.8407512117068]"
0.05,0.95,0.1,decay,-759.7475605255817,2.1651719457284933,"[-762.0455524676166, -756.8460295028144, -760.3510996063136]"
0.05,0.95,0.1,softmax,-764.1978531958235,6.437855324732688,"[-769.4205587169207, -755.1280577396084, -768.0449431309416]"
0.05,0.95,0.1,greedy,-764.9620626645724,4.435919411177634,"[-768.7539938140638, -758.738047280521, -767.3941468991324]"
0.05,0.95,0.1,epsilon,-769.24218423939,6.443941735338471,"[-765.9594197286498, -763.521218329404, -778.2459146601163]"
0.05,0.9,0.1,epsilon,-769.2972405375546,2.632518160362895,"[-765.7657363487922, -770.0424112189529, -772.0835740449186]"
0.05,0.9,0.1,softmax,-769.9675600530636,3.6743125513853436,"[-768.5092241187929, -766.37749182441, -775.0159642159878]"
0.05,0.9,0.1,decay,-772.2140088175819,5.633679946680994,"[-776.4694326773949, -764.2531116135345, -775.9194821618163]"
0.05,0.9,0.1,greedy,-773.347973959024,3.030971456609782,"[-776.4245982370873, -774.3944189159105, -769.2249047240743]"
0.1,0.95,0.1,decay,-874.0418758278535,5.548259706550197,"[-874.9119383421473, -866.8535474446423, -880.3601416967709]"
0.1,0.95,0.1,epsilon,-875.4811516401328,2.4733881757390925,"[-878.9770379889644, -873.6304583860632, -873.835958545371]"
0.1,0.95,0.1,softmax,-879.0934780749607,3.512907885736434,"[-882.0767062180773, -874.1615086285767, -881.0422193782279]"
0.1,0.9,0.1,decay,-883.2957299694299,3.2925351509509335,"[-887.8228600673908, -880.0887660718844, -881.9755637690148]"
