alpha,gamma,epsilon,policy,mean_score,std_score,seeds
0.1,0.95,0.1,greedy,-598.0437759858245,3.6780887219066596,"[-597.3553316275222, -593.922907097207, -602.8530892327442]"
0.1,0.9,0.1,softmax,-598.7761923802908,3.036072997746914,"[-599.4676991703642, -594.7605653306259, -602.1003126398822]"
0.1,0.95,0.1,epsilon,-598.7918936578786,4.171916643940029,"[-595.3528276259046, -604.663167434892, -596.3596859128393]"
0.1,0.95,0.1,softmax,-599.9120932176157,3.3694492451001286,"[-602.192759289833, -595.1484048272482, -602.395115535766]"
0.1,0.95,0.1,decay,-602.1130632751416,4.021715579020942,"[-607.2844873052088, -601.577613297932, -597.477089222284]"
0.1,0.9,0.1,greedy,-602.7603660925913,5.919271563985283,"[-607.2048753966477, -594.3947071272427, -606.6815157538836]"
0.1,0.9,0.1,decay,-607.4400277472679,5.421149444132439,"[-608.3811813387082, -600.3801441305372, -613.5587577725582]"
0.1,0.9,0.1,epsilon,-608.9640063744936,2.563892709131501,"[-608.8555806867441, -605.8795090312716, -612.1569294054647]"
0.05,0.95,0.1,epsilon,-761.5785243923352,2.939535071428557,"[-763.4684795989243, -763.8401574049485, -757.4269361731328]"
0.05,0.9,0.1,epsilon,-762.6921490608987,3.1797855685920484,"[-762.8441627750988, -758.7239418921033, -766.5083425154938]"
0.05,0.9,0.1,decay,-764.077459936234,6.368176216295948,"[-771.7623671510361, -756.1684164420103, -764.301596215656]"
0.05,0.9,0.1,greedy,-765.3065762720615,1.9335328027954355,"[-765.2206026422323, -762.9826494741758, -767.7164766997764]"
0.05,0.95,0.1,decay,-766.0285710143538,2.7710607431926775,"[-767.0659378531235, -762.2371106402926, -768.7826645496455]"
0.05,0.95,0.1,softmax,-766.0486927880224,2.41541130658399,"[-768.1693785817048, -762.669225812285, -767.3074739700774]"
0.05,0.95,0.1,greedy,-768.6076760525372,5.259666048028735,"[-761.7112853192069, -769.6421654418502, -774.4695773965547]"
0.05,0.9,0.1,softmax,-768.7836923573428,7.029610980409959,"[-776.0234656811748, -759.2636016762002, -771.0640097146537]"
0.1,0.9,0.1,epsilon,-875.2275454903943,5.00540976597078,"[-868.5362470622747, -876.5729236235011, -880.573465785407]"
0.1,0.9,0.1,greedy,-879.1489074365401,1.9205605371907142,"[-878.6161803759865, -877.1087626588463, -881.7217792747873]"
0.1,0.9,0.1,decay,-879.7192507576947,8.092131194615455,"[-891.0271112503206, -875.5894921604374, -872.5411488623259]"
0.1,0.95,0.1,decay,-881.7118445056634,5.264951477702918,"[-877.930292066188, -889.1573004600457, -878.0479409907562]"
0.1,0.95,0.1,epsilon,-882.2861011210763,4.7395575460791886,"[-875.58403447335, -885.5544568423434, -885.7198120475354]"
0.1,0.9,0.1,softmax,-885.599827798117,4.3982956983050965,"[-879.6208503185807, -890.0747049715927, -887.1039281041773]"
0.1,0.95,0.1,greedy,-885.6633956991905,8.323302755138162,"[-876.9165586095028, -883.215107432291, -896.8585210557775]"
0.1,0.95,0.1,softmax,-885.6650056202201,5.658742873000237,"[-889.4093048535348, -877.6677254912679, -889.9179865158577]"
0.05,0.9,0.1,softmax,-1043.479311777659,3.8548298227430386,"[-1038.15739262808, -1047.1637223124226, -1045.1168203924747]"
0.05,0.9,0.1,decay,-1044.7835259556507,4.02306166848711,"[-1045.090610867498, -1039.7099416375718, -1049.5500253618827]"
0.05,0.9,0.1,epsilon,-1044.8330401568498,4.230129577311848,"[-1040.2622433297392, -1050.4608713124703, -1043.7760058283397]"
0.05,0.9,0.1,greedy,-1048.0456546013422,0.5025453612774826,"[-1048.001192383893, -1048.6821699224854, -1047.453601497648]"
0.05,0.95,0.1,epsilon,-1052.5487999108097,4.2373422428727565,"[-1051.5332928473758, -1047.941950527545, -1058.1711563575082]"
0.05,0.95,0.1,softmax,-1055.1081144168857,3.4126052768679167,"[-1054.5856912710096, -1059.5243371457714, -1051.214314833876]"
0.05,0.95,0.1,decay,-1055.2072741395434,1.0746742805467917,"[-1054.7257429184822, -1054.1996475936342, -1056.696431906514]"
0.05,0.95,0.1,greedy,-1058.0802822397336,1.7130376659829536,"[-1055.7948204830254, -1059.9188906120353, -1058.52713562414]"
0.1,0.9,0.1,epsilon,-1067.3960597001649,2.49756064775475,"[-1066.5512136928212, -1064.8484001794402, -1070.7885652282334]"
0.1,0.9,0.1,decay,-1071.091518641588,4.72877944018519,"[-1074.653398283944, -1064.408865594312, -1074.212292046508]"
0.1,0.95,0.1,softmax,-1072.154718249093,7.387641127846381,"[-1062.0096497867169, -1075.0652969832727, -1079.3892079772897]"
0.1,0.9,0.1,greedy,-1074.1524006122622,18.74624087731477,"[-1073.586047993057, -1051.4814541096443, -1097.3896997340853]"
0.1,0.95,0.1,decay,-1074.9799369670834,14.412046021566068,"[-1087.0554920008685, -1054.722583726523, -1083.1617351738591]"
0.1,0.9,0.1,softmax,-1076.722159144086,3.1153648326200405,"[-1077.370552957903, -1072.6239807643635, -1080.171943709991]"
0.1,0.95,0.1,greedy,-1077.411803173585,4.567241064592525,"[-1074.4802838737583, -1073.8931689426731, -1083.8619567043236]"
0.1,0.95,0.1,epsilon,-1081.5661099663757,3.0697451484512635,"[-1083.5821632104953, -1077.2284212139616, -1083.8877454746705]"
0.05,0.9,0.1,decay,-1151.3254202929834,8.52994948663884,"[-1162.0831303226776, -1141.2196409552093, -1150.6734896010635]"
0.05,0.9,0.1,softmax,-1152.5031608617874,14.800650514220598,"[-1164.023341026713, -1131.608574745697, -1161.8775668129522]"
0.05,0.9,0.1,epsilon,-1158.4388754110325,12.061566992666249,"[-1166.4762206958096, -1141.390509446934, -1167.4498960903543]"
0.05,0.9,0.1,greedy,-1159.532382401924,6.258233390571864,"[-1161.8594841414606, -1150.973787524397, -1165.7638755399144]"
0.05,0.95,0.1,epsilon,-1164.5065179282258,3.9547961693464395,"[-1167.5638540011737, -1158.9219725249661, -1167.0337272585375]"
0.05,0.95,0.1,softmax,-1166.805148007354,6.589652840320859,"[-1168.9857447282204, -1157.868255781451, -1173.5614435123912]"
0.05,0.95,0.1,decay,-1167.1883912484873,5.813322832479399,"[-1171.616463468834, -1158.9755039282502, -1170.9732063483782]"
0.05,0.95,0.1,greedy,-1167.2519564781578,7.096355787893262,"[-1169.0955169962156, -1157.7868535830148, -1174.8734988552435]"
