alpha,gamma,epsilon,policy,mean_score,std_score,seeds
0.1,0.95,0.1,greedy,-0.09633333333333333,0.03179447890576113,"[-0.125, -0.052, -0.112]"
0.1,0.95,0.1,greedy,-0.103,0.018766104195241665,"[-0.1295, -0.0885, -0.091]"
0.1,0.9,0.1,greedy,-0.10533333333333332,0.03270406023042942,"[-0.113, -0.062, -0.141]"
0.05,0.95,0.1,greedy,-0.11006666666666666,0.005480470377217229,"[-0.112, -0.1156, -0.1026]"
0.1,0.95,0.1,greedy,-0.11499999999999999,0.019213189913876,"[-0.1188, -0.1364, -0.0898]"
0.05,0.9,0.1,greedy,-0.11826666666666667,0.006725738290742187,"[-0.1114, -0.116, -0.1274]"
0.1,0.9,0.1,greedy,-0.11983333333333335,0.014412571672752308,"[-0.1225, -0.101, -0.136]"
0.05,0.95,0.1,greedy,-0.1225,0.008154753215150048,"[-0.1335, -0.114, -0.12]"
0.1,0.9,0.1,greedy,-0.12546666666666667,0.006499914529352593,"[-0.1278, -0.1166, -0.132]"
0.05,0.9,0.1,greedy,-0.12966666666666668,0.011606990230986764,"[-0.1255, -0.118, -0.1455]"
0.05,0.95,0.1,decay,-0.134,0.0037416573867739447,"[-0.135, -0.129, -0.138]"
0.05,0.95,0.1,epsilon,-0.134,0.0037416573867739447,"[-0.135, -0.129, -0.138]"
0.05,0.95,0.1,greedy,-0.13933333333333334,0.01391242450313947,"[-0.157, -0.123, -0.138]"
0.1,0.95,0.1,decay,-0.14200000000000002,0.02539028685672273,"[-0.108, -0.149, -0.169]"
0.1,0.95,0.1,epsilon,-0.14200000000000002,0.02539028685672273,"[-0.108, -0.149, -0.169]"
0.05,0.9,0.1,decay,-0.1434,0.0012328828005937962,"[-0.1448, -0.1418, -0.1436]"
0.05,0.9,0.1,epsilon,-0.1434,0.0012328828005937962,"[-0.1448, -0.1418, -0.1436]"
0.1,0.9,0.1,decay,-0.1436666666666667,0.025223445883190154,"[-0.108, -0.162, -0.161]"
0.1,0.9,0.1,epsilon,-0.1436666666666667,0.025223445883190154,"[-0.108, -0.162, -0.161]"
0.05,0.9,0.1,greedy,-0.14400000000000002,0.014988884770611412,"[-0.157, -0.123, -0.152]"
0.1,0.95,0.1,decay,-0.14716666666666667,0.012317557477934584,"[-0.14, -0.137, -0.1645]"
0.1,0.95,0.1,epsilon,-0.14716666666666667,0.012317557477934584,"[-0.14, -0.137, -0.1645]"
0.05,0.95,0.1,epsilon,-0.1482,0.010556514576317321,"[-0.1336, -0.1582, -0.1528]"
0.05,0.95,0.1,decay,-0.1482,0.010556514576317321,"[-0.1336, -0.1582, -0.1528]"
0.1,0.95,0.1,epsilon,-0.14880000000000002,0.006393746945258314,"[-0.1414, -0.148, -0.157]"
0.1,0.95,0.1,decay,-0.14880000000000002,0.006393746945258314,"[-0.1414, -0.148, -0.157]"
0.05,0.9,0.1,epsilon,-0.15166666666666667,0.02671246067953223,"[-0.189, -0.128, -0.138]"
0.05,0.9,0.1,decay,-0.15166666666666667,0.02671246067953223,"[-0.189, -0.128, -0.138]"
0.1,0.9,0.1,decay,-0.15366666666666665,0.01911183461162801,"[-0.1306, -0.153, -0.1774]"
0.1,0.9,0.1,epsilon,-0.15366666666666665,0.01911183461162801,"[-0.1306, -0.153, -0.1774]"
0.05,0.95,0.1,decay,-0.15416666666666667,0.009040034414880419,"[-0.1415, -0.159, -0.162]"
0.05,0.95,0.1,epsilon,-0.15416666666666667,0.009040034414880419,"[-0.1415, -0.159, -0.162]"
0.05,0.9,0.1,decay,-0.15433333333333332,0.008429445744267869,"[-0.1615, -0.1425, -0.159]"
0.05,0.9,0.1,epsilon,-0.15433333333333332,0.008429445744267869,"[-0.1615, -0.1425, -0.159]"
0.1,0.9,0.1,decay,-0.161,0.020607442021431634,"[-0.132, -0.173, -0.178]"
0.1,0.9,0.1,epsilon,-0.161,0.020607442021431634,"[-0.132, -0.173, -0.178]"
0.1,0.9,0.1,softmax,-0.26293333333333335,0.004099864496405802,"[-0.2642, -0.2574, -0.2672]"
0.1,0.95,0.1,softmax,-0.26793333333333336,0.016806612455287435,"[-0.2542, -0.258, -0.2916]"
0.05,0.95,0.1,softmax,-0.2882666666666666,0.0127272236651291,"[-0.2838, -0.2754, -0.3056]"
0.1,0.95,0.1,softmax,-0.2883333333333334,0.013627994064506406,"[-0.277, -0.2805, -0.3075]"
0.05,0.9,0.1,softmax,-0.2916,0.010591820743699671,"[-0.301, -0.2768, -0.297]"
0.1,0.9,0.1,softmax,-0.29283333333333333,0.012814921857827384,"[-0.2875, -0.2805, -0.3105]"
0.1,0.9,0.1,softmax,-0.29433333333333334,0.02989239962859382,"[-0.264, -0.284, -0.335]"
0.1,0.95,0.1,softmax,-0.29433333333333334,0.02989239962859382,"[-0.264, -0.284, -0.335]"
0.05,0.95,0.1,softmax,-0.3085,0.023391593931724013,"[-0.3015, -0.284, -0.34]"
0.05,0.9,0.1,softmax,-0.3093333333333333,0.023170862929310376,"[-0.304, -0.284, -0.34]"
0.05,0.9,0.1,softmax,-0.324,0.02237558192911788,"[-0.303, -0.314, -0.355]"
0.05,0.95,0.1,softmax,-0.324,0.02237558192911788,"[-0.303, -0.314, -0.355]"
