alpha,gamma,epsilon,policy,mean_score,std_score,seeds
0.05,0.95,0.1,greedy,-0.10766666666666667,0.0026948510575210294,"[-0.1044, -0.1076, -0.111]"
0.1,0.95,0.1,greedy,-0.10799999999999998,0.02779688231918584,"[-0.106, -0.075, -0.143]"
0.05,0.9,0.1,greedy,-0.11213333333333335,0.010289584809677966,"[-0.1246, -0.0994, -0.1124]"
0.1,0.9,0.1,greedy,-0.11359999999999999,0.006883797401628458,"[-0.1102, -0.1074, -0.1232]"
0.1,0.9,0.1,greedy,-0.11683333333333333,0.01956754682858556,"[-0.1025, -0.1035, -0.1445]"
0.1,0.95,0.1,greedy,-0.12,0.026580067720004024,"[-0.1035, -0.099, -0.1575]"
0.1,0.9,0.1,greedy,-0.12033333333333333,0.019703355608175526,"[-0.114, -0.1, -0.147]"
0.1,0.95,0.1,greedy,-0.123,0.008927859019197525,"[-0.1174, -0.116, -0.1356]"
0.05,0.9,0.1,greedy,-0.12333333333333334,0.018080068829760824,"[-0.139, -0.098, -0.133]"
0.05,0.95,0.1,greedy,-0.124,0.020832666655999657,"[-0.143, -0.095, -0.134]"
0.05,0.95,0.1,greedy,-0.1245,0.012020815280171298,"[-0.116, -0.116, -0.1415]"
0.05,0.9,0.1,greedy,-0.12533333333333332,0.003299831645537225,"[-0.129, -0.126, -0.121]"
0.05,0.9,0.1,epsilon,-0.12833333333333333,0.022939534045447,"[-0.099, -0.155, -0.131]"
0.05,0.9,0.1,decay,-0.12833333333333333,0.022939534045447,"[-0.099, -0.155, -0.131]"
0.05,0.9,0.1,decay,-0.13483333333333333,0.006956212251569731,"[-0.126, -0.1355, -0.143]"
0.05,0.9,0.1,epsilon,-0.13483333333333333,0.006956212251569731,"[-0.126, -0.1355, -0.143]"
0.05,0.9,0.1,decay,-0.137,0.0026733250207684636,"[-0.1334, -0.1398, -0.1378]"
0.05,0.9,0.1,epsilon,-0.137,0.0026733250207684636,"[-0.1334, -0.1398, -0.1378]"
0.05,0.95,0.1,epsilon,-0.1426666666666667,0.0032998316455372114,"[-0.145, -0.138, -0.145]"
0.05,0.95,0.1,decay,-0.1426666666666667,0.0032998316455372114,"[-0.145, -0.138, -0.145]"
0.05,0.95,0.1,decay,-0.14866666666666667,0.022305953365762143,"[-0.126, -0.141, -0.179]"
0.05,0.95,0.1,epsilon,-0.14866666666666667,0.022305953365762143,"[-0.126, -0.141, -0.179]"
0.05,0.95,0.1,epsilon,-0.15000000000000002,0.011981096221409235,"[-0.1342, -0.1526, -0.1632]"
0.05,0.95,0.1,decay,-0.15000000000000002,0.011981096221409235,"[-0.1342, -0.1526, -0.1632]"
0.1,0.9,0.1,decay,-0.15366666666666665,0.002624669291337273,"[-0.155, -0.156, -0.15]"
0.1,0.9,0.1,epsilon,-0.15366666666666665,0.002624669291337273,"[-0.155, -0.156, -0.15]"
0.1,0.9,0.1,decay,-0.15566666666666665,0.0024944382578492965,"[-0.159, -0.155, -0.153]"
0.1,0.9,0.1,epsilon,-0.15566666666666665,0.0024944382578492965,"[-0.159, -0.155, -0.153]"
0.1,0.9,0.1,epsilon,-0.16006666666666666,0.006697926710723421,"[-0.163, -0.1664, -0.1508]"
0.1,0.9,0.1,decay,-0.16006666666666666,0.006697926710723421,"[-0.163, -0.1664, -0.1508]"
0.1,0.95,0.1,epsilon,-0.16146666666666665,0.01793717430985779,"[-0.1372, -0.18, -0.1672]"
0.1,0.95,0.1,decay,-0.16146666666666665,0.01793717430985779,"[-0.1372, -0.18, -0.1672]"
0.1,0.95,0.1,decay,-0.16516666666666666,0.013268592824996763,"[-0.149, -0.165, -0.1815]"
0.1,0.95,0.1,epsilon,-0.16516666666666666,0.013268592824996763,"[-0.149, -0.165, -0.1815]"
0.1,0.95,0.1,decay,-0.18299999999999997,0.017454703282114733,"[-0.159, -0.19, -0.2]"
0.1,0.95,0.1,epsilon,-0.18299999999999997,0.017454703282114733,"[-0.159, -0.19, -0.2]"
0.1,0.9,0.1,softmax,-0.2646,0.012989226304903593,"[-0.261, -0.2508, -0.282]"
0.1,0.95,0.1,softmax,-0.2774666666666667,0.006997777424932075,"[-0.2866, -0.2696, -0.2762]"
0.1,0.95,0.1,softmax,-0.29516666666666663,0.0034721111093332794,"[-0.2935, -0.292, -0.3]"
0.05,0.95,0.1,softmax,-0.29786666666666667,0.009721911106133182,"[-0.289, -0.2932, -0.3114]"
0.05,0.9,0.1,softmax,-0.30093333333333333,0.00912773551082389,"[-0.2886, -0.3038, -0.3104]"
0.1,0.9,0.1,softmax,-0.30216666666666664,0.012498888839501794,"[-0.2905, -0.2965, -0.3195]"
0.1,0.95,0.1,softmax,-0.3106666666666667,0.023228335186912454,"[-0.278, -0.324, -0.33]"
0.1,0.9,0.1,softmax,-0.3106666666666667,0.023228335186912454,"[-0.278, -0.324, -0.33]"
0.05,0.95,0.1,softmax,-0.3196666666666666,0.018208667044996876,"[-0.303, -0.345, -0.311]"
0.05,0.9,0.1,softmax,-0.32099999999999995,0.020066555924389873,"[-0.303, -0.349, -0.311]"
0.05,0.9,0.1,softmax,-0.326,0.009933109617167568,"[-0.312, -0.334, -0.332]"
0.05,0.95,0.1,softmax,-0.3285,0.012294985427672003,"[-0.312, -0.3415, -0.332]"
